Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
 Elaine,Brazil,29,168,64,Female,11/1/1982,BAHIA (BRA),Football,Women's Football,Not Won,,,
 Jai Bhagwan,India,27,,,Male,5/11/1985,NIRJAN (IND),Boxing,Men's Light (60kg),Not Won,,,
 Manoj Kumar,India,25,,,Male,12/10/1986,RAJOUND (IND),Boxing,Men's Light Welter (64kg),Not Won,,,
 Vijender,India,26,,,Male,10/29/1985,KALUWAS (IND),Boxing,Men's Middle (75kg),Not Won,,,
A G Kruger,United States of America,33,193,125,Male,2/18/1979,Sheldon (USA),Athletics,Men's Hammer Throw,Not Won,,,
A Lam Shin,Republic of Korea,25,167,57,Female,9/23/1986,,Fencing,"Women's Individual Epee, Women's Team Epee",Won,,0.5,
Aaron Brown,Canada,20,198,79,Male,5/27/1992,Toronto (CAN),Athletics,Men's 200m,Not Won,,,
Aaron Sarmiento,Spain,25,180,72,Male,8/26/1986,LAS PALMAS (ESP),Sailing,Men's 470,Not Won,,,
Aaron Younger,Australia,20,193,100,Male,9/25/1991,ATTADALE (AUS),Water Polo,Men's Water Polo,Not Won,,,
Aauri Lorena Bokesa,Spain,23,183,71,Female,12/14/1988,Madrid (ESP),Athletics,Women's 400m,Not Won,,,
Abbas Alqaisoum,Saudi Arabia,31,,94,Male,10/31/1980,ALQATIF,Weightlifting,Men's 94kg,Not Won,,,
Abbos Atoev,Uzbekistan,26,186,,Male,6/7/1986,BUKHARA REGION (UZB),Boxing,Men's Middle (75kg),Won,,,1
Abby Bishop,Australia,23,189,85,Female,11/29/1988,,Basketball,Women's Basketball,Not Won,,,
Abby Wambach,United States of America,32,178,81,Female,6/2/1980,,Football,Women's Football,Won,0.09,,
Abdalaati Iguider,Morocco,25,173,57,Male,3/25/1987,ERRACHIDIA (MAR),Athletics,"Men's 1500m, Men's 5000m",Won,,,1
Abdelali Daraa,Morocco,22,,,Male,4/25/1990,Casablanca (MAR),Boxing,Men's Light Fly (49kg),Not Won,,,
Abdelatif Noussir,Morocco,22,174,70,Male,2/20/1990,,Football,Men's Football,Not Won,,,
Abdelaziz Barrada,Morocco,23,180,74,Male,6/19/1989,,Football,Men's Football,Not Won,,,
Abdelaziz Merzougui,Spain,20,175,62,Male,8/30/1991,KALMIN (MAR),Athletics,Men's 3000m Steeplechase,Not Won,,,
Abdelaziz Sanqour Almazam,United Arab Emirates,23,182,63,Male,5/7/1989,,Football,Men's Football,Not Won,,,
Abdelhafid Benchabla,Algeria,25,180,,Male,9/26/1986,,Boxing,Men's Light Heavy (81kg),Not Won,,,
Abdelhak Aatakni,Morocco,24,,,Male,2/9/1988,AIN SEBAA (MAR),Boxing,Men's Light Welter (64kg),Not Won,,,
Abdelhamid El Kaoutari,Morocco,22,178,72,Male,3/17/1990,,Football,Men's Football,Not Won,,,
Abdelkader Chadi,Algeria,25,175,,Male,12/12/1986,SETIF (ALG),Boxing,Men's Light (60kg),Not Won,,,
Abdelkarim El Haouari,Morocco,18,171,,Male,12/19/1993,,Fencing,Men's Individual Epee,Not Won,,,
Abdellatif Meftah,France,30,173,59,Male,1/3/1982,BOUCHANE (MAR),Athletics,Men's Marathon,Not Won,,,
Abdelrahman Ahmed,Egypt,23,176,,Male,10/7/1988,Cairo (EGY),Taekwondo,Men's -80kg,Not Won,,,
Abdelrahman Eltrabily,Egypt,22,190,120,Male,9/7/1989,PORT SAID (EGY),Wrestling,Men's 120kg Greco-Roman,Not Won,,,
Abderrahime Bouramdane,Morocco,34,170,58,Male,1/1/1978,AIN KANSARA (MAR),Athletics,Men's Marathon,Not Won,,,
Abderrazak Houya,Tunisia,25,177,,Male,2/20/1987,MONASTIR (TUN),Boxing,Men's Light Welter (64kg),Not Won,,,
Abdihakem Abdirahman,United States of America,35,180,61,Male,1/1/1977,HARGISA (SOM),Athletics,Men's Marathon,Not Won,,,
Abdou Omar Abdou Ahmed,Egypt,23,172,66,Male,2/22/1989,SUEZ (EGY),Wrestling,Men's 66kg Freestyle,Not Won,,,
Abdoulaye Ba,Senegal,21,197,79,Male,1/1/1991,,Football,Men's Football,Not Won,,,
Abdoulaye Sane,Senegal,19,177,73,Male,8/15/1992,,Football,Men's Football,Not Won,,,
Abdourahman Osman,Djibouti,18,,,Male,12/7/1993,TADJOURAH (DJI),Swimming,Men's 50m Freestyle,Not Won,,,
Abdouraim Haroun,Chad,20,174,72,Male,4/12/1992,N'DJAMENA (CHA),Athletics,Men's 100m,Not Won,,,
Abdul Buhari,Great Britain,30,192,125,Male,6/26/1982,KANO (NGR),Athletics,Men's Discus Throw,Not Won,,,
Abdul Haseem Khan,Pakistan,25,,,Male,7/15/1987,,Hockey,Men's Hockey,Not Won,,,
Abdulaziz Hussain Al Balooshi,United Arab Emirates,21,178,66,Male,9/10/1990,,Football,Men's Football,Not Won,,,
Abdulaziz Ladan Mohammed,Saudi Arabia,21,,,Male,1/7/1991,Jeddah (KSA),Athletics,Men's 800m,Not Won,,,
Abdulkhakim Shapiyev,Kazakhstan,28,174,74,Male,12/4/1983,Moscow (RUS),Wrestling,Men's 74kg Freestyle,Not Won,,,
Abdullah Abdulaziz Aljoud,Saudi Arabia,37,,,Male,7/10/1975,ALQATIF (KSA),Athletics,Men's 5000m,Not Won,,,
Abdullah Alrashidi,Kuwait,48,180,95,Male,8/21/1963,KUWAIT (KUW),Shooting,Men's Skeet,Not Won,,,
